TIME, SN_QSO_SU_5M1:VAL, SN_QSO_SU_5M1:ST, SN_QSO_SU_5M1:FLAT
2025/06/27 04:30:00.000,3783.42,1,0.0
2025/06/27 04:30:04.498,3784.84,1,0.0
2025/06/27 04:30:12.000,3790.26,1,0.0
2025/06/27 04:30:20.000,3796.82,1,0.0
2025/06/27 04:30:27.000,3798.2,1,0.0
2025/06/27 04:30:35.360,3797.54,1,0.0
2025/06/27 04:30:43.000,3795.77,1,0.0
2025/06/27 04:30:51.000,3793.55,1,0.0
2025/06/27 04:30:57.000,3792.05,1,0.0
2025/06/27 04:31:04.000,3790.54,1,0.0
2025/06/27 04:31:10.000,3790.62,1,0.0
2025/06/27 04:31:17.000,3789.23,1,0.0
2025/06/27 04:31:25.000,3787.59,1,0.0
2025/06/27 04:31:32.000,3786.28,1,0.0
2025/06/27 04:31:39.000,3786.35,1,0.0
2025/06/27 04:31:47.000,3783.42,1,0.0
2025/06/27 04:31:53.000,3780.42,1,0.0
2025/06/27 04:32:00.000,3778.17,1,0.0
2025/06/27 04:32:07.000,3777.66,1,0.0
2025/06/27 04:32:13.000,3777.31,1,0.0
2025/06/27 04:32:19.000,3777.56,1,0.0
2025/06/27 04:32:25.000,3776.16,1,0.0
2025/06/27 04:32:31.000,3776.28,1,0.0
2025/06/27 04:32:38.000,3776.43,1,0.0
2025/06/27 04:32:44.000,3776.03,1,0.0
2025/06/27 04:32:50.000,3774.49,1,0.0
2025/06/27 04:32:57.000,3773.77,1,0.0
2025/06/27 04:33:04.000,3775.52,1,0.0
2025/06/27 04:33:10.000,3776.57,1,0.0
2025/06/27 04:33:18.000,3777.06,1,0.0
2025/06/27 04:33:25.000,3776.79,1,0.0
2025/06/27 04:33:32.000,3776.01,1,0.0
2025/06/27 04:33:38.000,3775.53,1,0.0
2025/06/27 04:33:46.000,3774.82,1,0.0
2025/06/27 04:33:52.000,3773.62,1,0.0
2025/06/27 04:33:56.002,3773.7,1,0.0
2025/06/27 04:34:00.000,3773.73,1,0.0
2025/06/27 04:34:03.998,3773.16,1,0.0
2025/06/27 04:34:10.000,3770.51,1,0.0
2025/06/27 04:34:16.000,3768.09,1,0.0
2025/06/27 04:34:24.000,3764.73,1,0.0
2025/06/27 04:34:30.000,3763.87,1,0.0
2025/06/27 04:34:36.000,3763.81,1,0.0
2025/06/27 04:34:42.000,3763.39,1,0.0
2025/06/27 04:34:50.000,3762.81,1,0.0
2025/06/27 04:34:57.000,3763.08,1,0.0
2025/06/27 04:35:00.000,3763.19,1,0.0
2025/06/27 04:35:03.000,3763.27,1,0.0
2025/06/27 04:35:06.000,3763.3,1,0.0
2025/06/27 04:35:10.243,3763.1,1,0.0
2025/06/27 04:35:14.842,3762.52,1,0.0
2025/06/27 04:35:20.693,3762.86,1,0.0
2025/06/27 04:35:27.000,3763.37,1,0.0
2025/06/27 04:35:35.000,3764.53,1,0.0
2025/06/27 04:35:44.000,3765.68,1,0.0
2025/06/27 04:35:50.000,3765.35,1,0.0
2025/06/27 04:35:55.003,3765.09,1,0.0
2025/06/27 04:36:00.000,3766.06,1,0.0
2025/06/27 04:36:04.997,3766.86,1,0.0
2025/06/27 04:36:12.000,3767.5,1,0.0
2025/06/27 04:36:20.000,3762.67,1,0.0
2025/06/27 04:36:27.000,3751.9,1,0.0
2025/06/27 04:36:34.982,3744.99,1,0.0
2025/06/27 04:36:42.000,3749.43,1,0.0
2025/06/27 04:36:49.000,3758.05,1,0.0
2025/06/27 04:36:55.000,3762.78,1,0.0
2025/06/27 04:37:01.000,3764.58,1,0.0
2025/06/27 04:37:09.000,3764.95,1,0.0
2025/06/27 04:37:17.000,3766.02,1,0.0
2025/06/27 04:37:23.000,3765.03,1,0.0
2025/06/27 04:37:29.000,3765.37,1,0.0
2025/06/27 04:37:36.000,3765.1,1,0.0
2025/06/27 04:37:42.000,3763.11,1,0.0
2025/06/27 04:37:50.000,3757.22,1,0.0
2025/06/27 04:37:55.003,3753.19,1,0.0
2025/06/27 04:38:00.000,3749.69,1,0.0
2025/06/27 04:38:04.997,3748.58,1,0.0
2025/06/27 04:38:11.000,3750.88,1,0.0
2025/06/27 04:38:17.000,3751.84,1,0.0
2025/06/27 04:38:23.000,3753.48,1,0.0
2025/06/27 04:38:29.000,3753.95,1,0.0
2025/06/27 04:38:36.549,3754.36,1,0.0
2025/06/27 04:38:43.000,3755.37,1,0.0
2025/06/27 04:38:46.000,3756.03,1,0.0
2025/06/27 04:38:49.000,3756.74,1,0.0
2025/06/27 04:38:52.568,3758.27,1,0.0
2025/06/27 04:38:57.613,3760.9,1,0.0
2025/06/27 04:39:03.870,3762.94,1,0.0
2025/06/27 04:39:12.000,3762.15,1,0.0
2025/06/27 04:39:19.000,3757.54,1,0.0
2025/06/27 04:39:27.000,3753.01,1,0.0
2025/06/27 04:39:33.000,3750.83,1,0.0
2025/06/27 04:39:40.000,3750.92,1,0.0
2025/06/27 04:39:46.000,3750.83,1,0.0
2025/06/27 04:39:52.000,3750.99,1,0.0
2025/06/27 04:39:56.002,3751.44,1,0.0
2025/06/27 04:40:00.000,3752.16,1,0.0
2025/06/27 04:40:03.998,3753.05,1,0.0
2025/06/27 04:40:10.000,3753.26,1,0.0
2025/06/27 04:40:16.000,3753.55,1,0.0
2025/06/27 04:40:22.000,3752.58,1,0.0
2025/06/27 04:40:28.000,3751.65,1,0.0
2025/06/27 04:40:34.000,3751.27,1,0.0
2025/06/27 04:40:40.000,3751.07,1,0.0
2025/06/27 04:40:47.000,3752.19,1,0.0
2025/06/27 04:40:54.329,3752.07,1,0.0
2025/06/27 04:41:01.000,3751.61,1,0.0
2025/06/27 04:41:08.000,3750.08,1,0.0
2025/06/27 04:41:14.000,3748.49,1,0.0
2025/06/27 04:41:20.000,3748.92,1,0.0
2025/06/27 04:41:27.000,3748.62,1,0.0
2025/06/27 04:41:34.000,3749.04,1,0.0
2025/06/27 04:41:42.000,3745.7,1,0.0
2025/06/27 04:41:51.005,3742.23,1,0.0
2025/06/27 04:41:55.505,3741.49,1,0.0
2025/06/27 04:42:00.000,3740.79,1,0.0
2025/06/27 04:42:04.495,3740.19,1,0.0
2025/06/27 04:42:12.000,3739.63,1,0.0
2025/06/27 04:42:18.000,3739.29,1,0.0
2025/06/27 04:42:24.000,3738.62,1,0.0
2025/06/27 04:42:31.000,3738.77,1,0.0
2025/06/27 04:42:37.000,3739.05,1,0.0
2025/06/27 04:42:44.000,3739.51,1,0.0
2025/06/27 04:42:50.000,3738.92,1,0.0
2025/06/27 04:42:55.000,3737.98,1,0.0
2025/06/27 04:43:02.000,3735.64,1,0.0
2025/06/27 04:43:09.000,3733.68,1,0.0
2025/06/27 04:43:17.000,3731.43,1,0.0
2025/06/27 04:43:27.000,3732.49,1,0.0
2025/06/27 04:43:35.000,3732.97,1,0.0
2025/06/27 04:43:41.000,3731.76,1,0.0
2025/06/27 04:43:49.000,3729.76,1,0.0
2025/06/27 04:43:54.503,3729.52,1,0.0
2025/06/27 04:44:00.000,3729.3,1,0.0
2025/06/27 04:44:05.497,3728.09,1,0.0
2025/06/27 04:44:12.000,3728.2,1,0.0
2025/06/27 04:44:19.000,3729.82,1,0.0
2025/06/27 04:44:25.000,3733.03,1,0.0
2025/06/27 04:44:31.000,3734.42,1,0.0
2025/06/27 04:44:39.000,3731.79,1,0.0
2025/06/27 04:44:45.000,3726.28,1,0.0
2025/06/27 04:44:52.000,3722.96,1,0.0
2025/06/27 04:45:01.000,3719.73,1,0.0
2025/06/27 04:45:07.000,3721.26,1,0.0
2025/06/27 04:45:13.000,3723.68,1,0.0
2025/06/27 04:45:19.000,3725.25,1,0.0
2025/06/27 04:45:25.000,3725.45,1,0.0
2025/06/27 04:45:32.000,3726.37,1,0.0
