TIME, IO_QSO_SU_5M1:VAL, IO_QSO_SU_5M1:ST, IO_QSO_SU_5M1:FLAT
2025/06/27 04:30:00.000,3818.98,1,0
2025/06/27 04:30:04.498,3818.56,1,0
2025/06/27 04:30:12.000,3821.57,1,0
2025/06/27 04:30:20.000,3822.72,1,0
2025/06/27 04:30:27.000,3822.97,1,0
2025/06/27 04:30:35.360,3818.7,1,0
2025/06/27 04:30:43.000,3819.77,1,0
2025/06/27 04:30:51.000,3823.0,1,0
2025/06/27 04:30:57.000,3817.58,1,0
2025/06/27 04:31:04.000,3815.01,1,0
2025/06/27 04:31:10.000,3812.03,1,0
2025/06/27 04:31:17.000,3815.74,1,0
2025/06/27 04:31:25.000,3819.37,1,0
2025/06/27 04:31:32.000,3813.39,1,0
2025/06/27 04:31:39.000,3814.36,1,0
2025/06/27 04:31:47.000,3812.49,1,0
2025/06/27 04:31:53.000,3806.6,1,0
2025/06/27 04:32:00.000,3810.29,1,0
2025/06/27 04:32:07.000,3814.24,1,0
2025/06/27 04:32:13.000,3812.85,1,0
2025/06/27 04:32:19.000,3811.28,1,0
2025/06/27 04:32:25.000,3811.35,1,0
2025/06/27 04:32:31.000,3805.95,1,0
2025/06/27 04:32:38.000,3805.38,1,0
2025/06/27 04:32:44.000,3806.05,1,0
2025/06/27 04:32:50.000,3807.65,1,0
2025/06/27 04:32:57.000,3800.99,1,0
2025/06/27 04:33:04.000,3804.3,1,0
2025/06/27 04:33:10.000,3806.07,1,0
2025/06/27 04:33:18.000,3800.08,1,0
2025/06/27 04:33:25.000,3800.99,1,0
2025/06/27 04:33:32.000,3800.04,1,0
2025/06/27 04:33:38.000,3799.52,1,0
2025/06/27 04:33:46.000,3802.77,1,0
2025/06/27 04:33:52.000,3805.91,1,0
2025/06/27 04:33:56.002,3800.71,1,0
2025/06/27 04:34:00.000,3794.93,1,0
2025/06/27 04:34:03.998,3796.38,1,0
2025/06/27 04:34:10.000,3796.01,1,0
2025/06/27 04:34:16.000,3795.26,1,0
2025/06/27 04:34:24.000,3805.24,1,0
2025/06/27 04:34:30.000,3802.57,1,0
2025/06/27 04:34:36.000,3801.08,1,0
2025/06/27 04:34:42.000,3798.12,1,0
2025/06/27 04:34:50.000,3802.31,1,0
2025/06/27 04:34:57.000,3810.34,1,0
2025/06/27 04:35:00.000,3806.34,1,0
2025/06/27 04:35:03.000,3800.62,1,0
2025/06/27 04:35:06.000,3794.03,1,0
2025/06/27 04:35:10.243,3794.95,1,0
2025/06/27 04:35:14.842,3801.2,1,0
2025/06/27 04:35:20.693,3805.67,1,0
2025/06/27 04:35:27.000,3799.88,1,0
2025/06/27 04:35:35.000,3804.37,1,0
2025/06/27 04:35:44.000,3799.58,1,0
2025/06/27 04:35:50.000,3801.27,1,0
2025/06/27 04:35:55.003,3796.55,1,0
2025/06/27 04:36:00.000,3792.77,1,0
2025/06/27 04:36:04.997,3794.51,1,0
2025/06/27 04:36:12.000,3798.92,1,0
2025/06/27 04:36:20.000,3796.37,1,0
2025/06/27 04:36:27.000,3793.32,1,0
2025/06/27 04:36:34.982,3800.3,1,0
2025/06/27 04:36:42.000,3798.25,1,0
2025/06/27 04:36:49.000,3792.16,1,0
2025/06/27 04:36:55.000,3792.39,1,0
2025/06/27 04:37:01.000,3787.93,1,0
2025/06/27 04:37:09.000,3788.39,1,0
2025/06/27 04:37:17.000,3800.06,1,0
2025/06/27 04:37:23.000,3794.33,1,0
2025/06/27 04:37:29.000,3786.04,1,0
2025/06/27 04:37:36.000,3787.45,1,0
2025/06/27 04:37:42.000,3781.4,1,0
2025/06/27 04:37:50.000,3781.97,1,0
2025/06/27 04:37:55.003,3783.48,1,0
2025/06/27 04:38:00.000,3786.91,1,0
2025/06/27 04:38:04.997,3788.94,1,0
2025/06/27 04:38:11.000,3784.5,1,0
2025/06/27 04:38:17.000,3779.99,1,0
2025/06/27 04:38:23.000,3783.5,1,0
2025/06/27 04:38:29.000,3787.21,1,0
2025/06/27 04:38:36.549,3782.12,1,0
2025/06/27 04:38:43.000,3784.47,1,0
2025/06/27 04:38:46.000,3787.75,1,0
2025/06/27 04:38:49.000,3786.63,1,0
2025/06/27 04:38:52.568,3783.89,1,0
2025/06/27 04:38:57.613,3780.6,1,0
2025/06/27 04:39:03.870,3784.03,1,0
2025/06/27 04:39:12.000,3782.08,1,0
2025/06/27 04:39:19.000,3784.36,1,0
2025/06/27 04:39:27.000,3783.75,1,0
2025/06/27 04:39:33.000,3780.2,1,0
2025/06/27 04:39:40.000,3778.16,1,0
2025/06/27 04:39:46.000,3777.15,1,0
2025/06/27 04:39:52.000,3778.06,1,0
2025/06/27 04:39:56.002,3776.24,1,0
2025/06/27 04:40:00.000,3779.46,1,0
2025/06/27 04:40:03.998,3781.26,1,0
2025/06/27 04:40:10.000,3781.59,1,0
2025/06/27 04:40:16.000,3783.77,1,0
2025/06/27 04:40:22.000,3784.33,1,0
2025/06/27 04:40:28.000,3774.13,1,0
2025/06/27 04:40:34.000,3773.69,1,0
2025/06/27 04:40:40.000,3774.6,1,0
2025/06/27 04:40:47.000,3771.99,1,0
2025/06/27 04:40:54.329,3777.8,1,0
2025/06/27 04:41:01.000,3771.97,1,0
2025/06/27 04:41:08.000,3775.72,1,0
2025/06/27 04:41:14.000,3775.32,1,0
2025/06/27 04:41:20.000,3771.29,1,0
2025/06/27 04:41:27.000,3774.36,1,0
2025/06/27 04:41:34.000,3777.37,1,0
2025/06/27 04:41:42.000,3770.34,1,0
2025/06/27 04:41:51.005,3770.85,1,0
2025/06/27 04:41:55.505,3774.05,1,0
2025/06/27 04:42:00.000,3772.92,1,0
2025/06/27 04:42:04.495,3777.22,1,0
2025/06/27 04:42:12.000,3776.65,1,0
2025/06/27 04:42:18.000,3774.15,1,0
2025/06/27 04:42:24.000,3771.7,1,0
2025/06/27 04:42:31.000,3766.79,1,0
2025/06/27 04:42:37.000,3767.63,1,0
2025/06/27 04:42:44.000,3764.35,1,0
2025/06/27 04:42:50.000,3768.24,1,0
2025/06/27 04:42:55.000,3773.94,1,0
2025/06/27 04:43:02.000,3774.98,1,0
2025/06/27 04:43:09.000,3767.27,1,0
2025/06/27 04:43:17.000,3769.92,1,0
2025/06/27 04:43:27.000,3769.31,1,0
2025/06/27 04:43:35.000,3759.0,1,0
2025/06/27 04:43:41.000,3762.41,1,0
2025/06/27 04:43:49.000,3762.41,1,0
2025/06/27 04:43:54.503,3766.11,1,0
2025/06/27 04:44:00.000,3766.78,1,0
2025/06/27 04:44:05.497,3762.63,1,0
2025/06/27 04:44:12.000,3759.77,1,0
2025/06/27 04:44:19.000,3764.39,1,0
2025/06/27 04:44:25.000,3764.74,1,0
2025/06/27 04:44:31.000,3762.04,1,0
2025/06/27 04:44:39.000,3762.15,1,0
2025/06/27 04:44:45.000,3759.67,1,0
2025/06/27 04:44:52.000,3766.78,1,0
2025/06/27 04:45:01.000,3755.97,1,0
2025/06/27 04:45:07.000,3756.39,1,0
2025/06/27 04:45:13.000,3759.69,1,0
2025/06/27 04:45:19.000,3757.51,1,0
2025/06/27 04:45:25.000,3758.58,1,0
2025/06/27 04:45:32.000,3758.79,1,0
2025/06/27 04:45:39.000,3755.69,1,0
2025/06/27 04:45:47.000,3753.89,1,0
2025/06/27 04:45:53.503,3751.72,1,0
2025/06/27 04:46:00.000,3753.68,1,0
2025/06/27 04:46:06.497,3757.31,1,0
2025/06/27 04:46:13.000,3751.56,1,0
2025/06/27 04:46:24.000,3748.86,1,0
2025/06/27 04:46:30.000,3748.64,1,0
